position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,2077,0.258622964154647,0.8695978954926247,1.218393525271157,0.3487956297785324,2077,2077,True,1.594655990600586,True,True,0.8,0.8,0.7894583880719716,0.9536322148317898
1,1317,0.06453119279238656,0.34861376493935836,0.38986566575773196,0.0412519008183736,1317,1317,True,2.1818418502807617,True,True,0.6,0.9,0.7163567446171364,0.9601483801010197
2,462,0.1272944638101147,0.15887669975996843,0.39206757376489776,0.23319087400492933,462,462,True,2.5962486267089844,True,True,1.0,0.8,0.7235739377635351,0.9571695036409804
3,10844,0.07207887279995345,0.06201238642054463,0.20984089445547127,0.14782850803492664,10844,10844,True,3.039043426513672,True,True,0.8,0.9,0.6809622402613207,0.9621487673305595
4,847,0.07886927154454745,0.5115255738241729,0.5788485895519706,0.06732301572779775,847,847,True,2.147930145263672,True,True,1.0,0.9,0.8436227215053239,0.9358806581964664
5,1116,0.06912871085561453,2.984366024444217,3.840632333076865,0.8562663086326481,641,641,True,0.2946949005126953,True,True,0.8,0.9,0.5865921433583466,0.9757143769578073
6,6047,0.13258359132330116,8.0938227262756,9.054119010877823,0.9602962846022223,279,279,True,0.17830467224121094,True,True,1.0,0.7,0.6030979544067416,0.9732528130446892
7,685,0.01932337740762072,0.20145803131117646,0.19256455751468948,-0.008893473796486973,685,685,True,2.908449172973633,True,True,0.8,0.9,0.5072033701125602,0.9792642628579574
8,264,0.044990669633985715,1.2402259948502348,1.325362151155531,0.08513615630529614,279,279,True,0.1656208038330078,True,True,1.0,0.9,0.5990880935402118,0.9748582143091006
9,4706,0.14703432935540633,3.088674885700051,4.042658412115138,0.9539835264150867,491,491,True,0.628321647644043,True,True,0.6,0.6,0.5587375686904966,0.9790929615309057
10,3013,0.12926668574848366,2.0626076566542544,1.2691571984499639,-0.7934504582042905,3990,3013,False,0.6396331787109375,True,True,0.8,1.0,0.5100531813271441,0.9831223170225236
