"name","run","warmup","profile","peak_working_set_bytes","operation_instrumentation","prefill_only","cpu_batch","cpu_batch_serial","prompt_tokens","generated_tokens","decode_forwards","load_time_ms","prefill_time_ms","prefill_forward_time_ms","prefill_forward_tokens_per_second","prefill_tokens_per_second","new_prefill_tokens","cached_prefix_tokens","prefix_build_time_ms","prefix_cache_restore_time_ms","prefix_cache_bytes","decode_time_ms","tokens_per_second","per_request_tokens_per_second","tick_p50_ms","tick_p95_ms","tick_p99_ms","peak_rss_bytes","physical_kv_bytes","batch_ticks","batch_rows","projection_batches","lm_head_batches","greedy_lm_head_batches","state_batches"
"calibrated-g32-b1-t8-p512-n128","0","True","case-0-run-0.json",,"False","False","1","False","512","128","127","582.844","246.2614","241.0783","2123.79131593","2079.09156693","512","0","0","0","0","1050.8513","120.854396811","120.854396811","8.2598","8.3595","8.6466","493125632","7852032","0","0","0","0","0","0"
"calibrated-g16-b1-t8-p512-n128","0","True","case-1-run-0.json",,"False","False","1","False","512","128","127","631.3329","247.1936","242.4872","2111.451656","2071.25103563","512","0","0","0","0","1099.5346","115.503413899","115.503413899","8.6215","8.9192","9.1989","508645376","7852032","0","0","0","0","0","0"
"calibrated-g32-b2-t8-p512-n128","0","True","case-2-run-0.json",,"False","False","2","False","1024","256","254","586.5013","494.8238","486.1606","2106.29985235","2069.42349984","1024","0","0","0","0","1567.4696","162.044609988","81.022304994","12.2902","12.554","13.2572","524992512","15704064","127","254","12319","127","0","0"
"calibrated-g16-b2-t8-p512-n128","0","True","case-3-run-0.json",,"False","False","2","False","1024","256","254","646.5566","486.6387","477.739","2143.4297807","2104.23051023","1024","0","0","0","0","1357.9665","187.044378488","93.522189244","10.6287","11.1385","11.9847","540864512","15704064","127","254","12319","127","0","0"
"calibrated-g32-b4-t8-p512-n128","0","True","case-4-run-0.json",,"False","False","4","False","2048","512","508","572.9887","953.5713","936.801","2186.16333672","2147.71564538","2048","0","0","0","0","1621.8632","313.220005238","78.3050013096","12.7365","13.1527","13.4325","587698176","31408128","127","508","12319","127","0","0"
"calibrated-g16-b4-t8-p512-n128","0","True","case-5-run-0.json",,"False","False","4","False","2048","512","508","647.8982","978.4829","961.6205","2129.73829073","2093.03606634","2048","0","0","0","0","1672.9777","303.65019211","75.9125480274","13.0801","13.6999","13.8712","603611136","31408128","127","508","12319","127","0","0"
"calibrated-g32-b8-t8-p512-n128","0","True","case-6-run-0.json",,"False","False","8","False","4096","1024","1016","580.2449","1968.2776","1937.6872","2113.86027631","2081.00727255","4096","0","0","0","0","2527.2399","402.019610406","50.2524513007","19.9708","20.4346","20.7053","714964992","62816256","127","1016","12319","127","0","3048"
"calibrated-g16-b8-t8-p512-n128","0","True","case-7-run-0.json",,"False","False","8","False","4096","1024","1016","629.7447","1946.8499","1915.0279","2138.87223262","2103.91155476","4096","0","0","0","0","2613.6683","388.725684893","48.5907106116","20.5678","20.9503","21.6995","730398720","62816256","127","1016","12319","127","0","3048"
"calibrated-g32-b16-t8-p512-n128","0","True","case-8-run-0.json",,"False","False","16","False","8192","2048","2032","589.3215","3873.1191","3811.0415","2149.54363525","2115.09116774","8192","0","0","0","0","3318.6993","612.288073222","38.2680045764","26.2146","26.6726","27.4464","966987776","125632512","127","2032","12319","127","0","3048"
"calibrated-g16-b16-t8-p512-n128","0","True","case-9-run-0.json",,"False","False","16","False","8192","2048","2032","631.8334","3859.1715","3798.0713","2156.88420594","2122.73541096","8192","0","0","0","0","3440.1772","590.667248187","36.9167030117","27.1069","27.7753","28.3107","982716416","125632512","127","2032","12319","127","0","3048"
